,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Ñ,O,NoMeasure
dia_ocurrencia,0.0026523732555014945,0.002230120557557891,0.0022085800737150496,0.0022770983237712095,0.0023684874908660447,0.002137943123016184,0.002425976176511191,0.00219133093361612,0.0002579324893259294,0.00045321249002272523,0.0020119107329248376,0.0021544321588757853,0.0022691323996835155,0.0021868171171164352,0.0022112820448980663,0.0021667714059060428,0.00036238091862084154
mes_ocurrencia,0.00320284943605742,0.0033662197568735674,0.0035769269800143277,0.003657430861036204,0.0036891101321294695,0.0037643538959476475,0.003580911508794249,0.00357787753728811,0.0016855108705773336,0.0020433850894407968,0.0034997787467513364,0.003673528909598822,0.003633986834685299,0.0033599257236780478,0.0035749791734076553,0.0035131484375330313,0.0014505820463113217
anio_ocurrencia,0.007697027678638113,0.009052750677251975,0.008425334592520262,0.008548079708400214,0.008319426623854764,0.009785273258547722,0.00946457490196917,0.008483820235441253,0.005794986495318177,0.005963878441714199,0.008258838158961224,0.008246702631703906,0.008205875530264084,0.00796000952657061,0.008228898616749025,0.008322839618290612,0.005842898223638038
dep_municipio_ocurrencia,0.03390410894928264,0.022532749436120048,0.06943600193975219,0.004213218897743731,0.00231529492869309,0.011135726075205299,0.00805137033811798,0.0020960594013081923,0.17258362906771807,0.15765485389126788,0.015779727749590022,0.002719418666480844,0.0034098001206045447,0.01243327544885886,0.0007110158224843399,0.0018537716025249784,0.1758486144267617
tipo_agresion,0.027098729613897365,0.030524761052444283,0.029815314721564734,0.03136839677703196,0.0316414171409346,0.031648371192862235,0.03123434433504313,0.03158984181829516,0.026190439912812558,0.023882313592238802,0.031233262662130112,0.03168732316879297,0.031602211372646294,0.031031558367406453,0.0315658176239364,0.03172411005229303,0.02588150180207882
dia_registro,0.0008239119083304214,0.0025819381804335073,0.0022935279991034285,0.0023682774280767704,0.0024555173280140785,0.002276017578875633,0.0024304677480605497,0.002488129420822993,0.0005163632668727658,0.0005053534024197504,0.0023403868847408082,0.00242398346831052,0.002368859065050466,0.0025779539468615553,0.002433198356831645,0.002402608733441003,0.0002313837567713417
mes_registro,0.005554332240661708,0.006058416542362277,0.005815946492770729,0.005923775599371628,0.005941189381707956,0.006028438080434961,0.00614717582574531,0.006046177334977032,0.0035614885593249213,0.004143330092366337,0.005816607693810538,0.005967910525120135,0.006058419205332344,0.005828478305578866,0.005957696008036417,0.0060272556707910985,0.003314765227057981
dep_municipio_registro,0.03865504959089172,0.024632229768777103,0.07510518883310557,0.005019870263672455,0.002643123425312699,0.012107747832200255,0.009396493874365475,0.0023658353718010172,0.2091845463512323,0.19198554397840595,0.018150703657677347,0.0028614781310373205,0.00391178206588394,0.01398007049225003,0.0008279198120908493,0.002305600478573866,0.21304366416990828
quien_reporta,0.06648512489065572,0.07732866951116024,0.07326881347047709,0.0796282430745231,0.07952771751107224,0.07859662502556297,0.07877613676231598,0.07980554063071743,0.04022673381314501,0.039980829998359724,0.07820820545135576,0.07953619929729572,0.07965140880096322,0.07723451359927147,0.07985795183174893,0.07969882970915287,0.04016161443894051
sexo_victima,0.05129262052519934,0.058040238968563806,0.055968664665807744,0.05991987655783226,0.06005386943321267,0.05974533641819024,0.059988052456010466,0.06013647237171971,0.027389776361641083,0.02824642611206185,0.05946951373340703,0.06014034690620007,0.06016804538400522,0.05949133487513436,0.06028760758841589,0.060170720413447065,0.027686033757418738
edad_victima,0.0063724283516548574,0.0023789038594210776,0.0015999190710012101,0.0017743430921889347,0.0018226833609892301,0.0023432123965709817,0.0023121853078691412,0.0017439114215603846,0.006544041503439235,0.005399338285637212,0.002377906117939421,0.0019733690171128693,0.0019701961591248596,0.0026836074651079844,0.001825103076736334,0.001720190926728149,0.006524410714646711
